# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      1.26028658e-03 -7.12971350e-04 -1.54966865e+02 1.26008596e-03 -7.18636587e-04 -1.54966774e+02 2.00621048e-07 5.66523717e-06 -9.16031405e-05
0.0013191        -5.94100725e-05 6.17394831e-05 -1.54964121e+02 -5.96423606e-05 5.61416414e-05 -1.54964033e+02 2.32288140e-07 5.59784175e-06 -8.83868734e-05
0.00218472       -2.53083150e-06 -1.34350461e-05 -1.54964189e+02 -2.89798335e-06 -1.90271183e-05 -1.54964101e+02 3.67151850e-07 5.59207224e-06 -8.83012986e-05
0.00322531       -3.00095137e-05 2.14409461e-05 -1.54964397e+02 -3.05120166e-05 1.59676945e-05 -1.54964308e+02 5.02502880e-07 5.47325156e-06 -8.93277623e-05
0.00446601       -2.26708993e-05 2.14009290e-05 -1.54964531e+02 -2.33105125e-05 1.61387858e-05 -1.54964438e+02 6.39613183e-07 5.26214328e-06 -9.27845864e-05
0.00595873       3.03986449e-05 -2.26258860e-05 -1.54964979e+02 3.02495770e-05 -2.82929968e-05 -1.54964888e+02 1.49067917e-07 5.66711082e-06 -9.08382079e-05
0.00773309       1.01917785e-05 -3.84936652e-06 -1.54965024e+02 1.00885410e-05 -9.41147953e-06 -1.54964929e+02 1.03237493e-07 5.56211302e-06 -9.47690233e-05
0.0097389        -1.42533289e-05 8.99380797e-06 -1.54965116e+02 -1.46432538e-05 3.65627512e-06 -1.54965023e+02 3.89924944e-07 5.33753286e-06 -9.25975702e-05
0.0117447        -1.93605588e-05 1.73917925e-05 -1.54965107e+02 -2.02349527e-05 1.26019446e-05 -1.54965009e+02 8.74393881e-07 4.78984791e-06 -9.78096277e-05
0.0137505        3.49360292e-05 -3.06492759e-05 -1.54964969e+02 3.49130412e-05 -3.62545145e-05 -1.54964879e+02 2.29880388e-08 5.60523863e-06 -9.04779192e-05
0.0157563        1.39286945e-05 -8.65574269e-06 -1.54964969e+02 1.39660812e-05 -1.41773005e-05 -1.54964876e+02 -3.73866736e-08 5.52155779e-06 -9.28268548e-05
0.0177621        -1.48141531e-06 5.30090486e-06 -1.54964965e+02 -1.70875455e-06 2.13870491e-07 -1.54964869e+02 2.27339240e-07 5.08703437e-06 -9.57278743e-05
0.0197679        -1.23903338e-05 7.80177371e-06 -1.54964907e+02 -1.28648395e-05 2.91050774e-06 -1.54964813e+02 4.74505733e-07 4.89126597e-06 -9.35838128e-05
0.0217737        1.49596977e-05 -2.18402417e-05 -1.54964806e+02 1.48771809e-05 -2.71965287e-05 -1.54964716e+02 8.25167196e-08 5.35628705e-06 -9.02994223e-05
0.0237795        -1.39571426e-06 8.39416973e-07 -1.54964824e+02 -1.60890231e-06 -4.22533932e-06 -1.54964733e+02 2.13188051e-07 5.06475629e-06 -9.13689982e-05
0.0257853        -8.09010094e-06 8.41878211e-06 -1.54964859e+02 -8.64290458e-06 3.84688789e-06 -1.54964766e+02 5.52803634e-07 4.57189423e-06 -9.34251844e-05
0.0277911        7.84352969e-07 -4.26415829e-06 -1.54964893e+02 2.91922151e-07 -8.94197220e-06 -1.54964801e+02 4.92430818e-07 4.67781391e-06 -9.23588456e-05
