# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      2.14749982e-04 1.71145411e-04 -2.51082786e-07 2.18412213e-04 1.71358565e-04 -1.60205347e-08 -3.66223072e-06 -2.13154783e-07 -2.35062251e-07
0.0013191        -1.01852433e-05 -7.52242241e-06 -2.39255184e-07 -6.58128167e-06 -7.33311842e-06 -4.75188517e-09 -3.60396162e-06 -1.89303999e-07 -2.34503299e-07
0.00218472       -1.02868960e-06 -1.65891888e-06 -2.35130981e-07 2.57404828e-06 -1.54029437e-06 -1.67215658e-09 -3.60273788e-06 -1.18624507e-07 -2.33458824e-07
0.00322531       -5.98339209e-06 -4.47528862e-06 -2.34293324e-07 -2.44166199e-06 -4.42885318e-06 -5.68182036e-10 -3.54173009e-06 -4.64354402e-08 -2.33725142e-07
0.00446601       -5.93831392e-06 -3.32868873e-06 -2.32666320e-07 -2.50659689e-06 -3.35417830e-06 -2.90072495e-10 -3.43171703e-06 2.54895705e-08 -2.32376247e-07
0.00595873       1.93632294e-06 5.76807589e-06 -2.29728978e-07 5.59116869e-06 6.01175225e-06 -2.01177033e-10 -3.65484575e-06 -2.43676357e-07 -2.29527801e-07
0.00773309       -2.39448801e-06 1.30669933e-06 -2.26888178e-07 1.19799693e-06 1.56301448e-06 -2.14657769e-10 -3.59248494e-06 -2.56315145e-07 -2.26673521e-07
0.0097389        -4.10773864e-06 -2.51272743e-06 -2.26067146e-07 -6.26288271e-07 -2.41497084e-06 -2.32773381e-10 -3.48145037e-06 -9.77565887e-08 -2.25834372e-07
0.0117447        -6.08416478e-06 -3.73211241e-06 -2.23570640e-07 -2.91652844e-06 -3.92356763e-06 -2.89960270e-10 -3.16763633e-06 1.91455214e-07 -2.23280679e-07
0.0137505        3.68727631e-06 6.77764098e-06 -2.24409116e-07 7.33749800e-06 7.07313801e-06 -2.79745658e-10 -3.65022169e-06 -2.95497028e-07 -2.24129370e-07
0.0157563        -1.50536232e-06 1.94438158e-06 -2.19411989e-07 2.07254492e-06 2.25372522e-06 -3.77122195e-10 -3.57790724e-06 -3.09343638e-07 -2.19034867e-07
0.0177621        -4.15498793e-06 -9.08797262e-07 -2.21323850e-07 -8.07729213e-07 -7.45217134e-07 -3.62222251e-10 -3.34725872e-06 -1.63580128e-07 -2.20961628e-07
0.0197679        -3.51177028e-06 -2.00013889e-06 -2.20949754e-07 -2.48370967e-07 -1.96618275e-06 -3.23341192e-10 -3.26339931e-06 -3.39561400e-08 -2.20626412e-07
0.0217737        1.75811805e-06 3.05323608e-06 -2.19987821e-07 5.29251241e-06 3.31060705e-06 -3.95339547e-10 -3.53439436e-06 -2.57370969e-07 -2.19592482e-07
0.0237795        -3.26427284e-06 -5.98548409e-07 -2.17241167e-07 8.51513066e-08 -4.43229323e-07 -3.93204894e-10 -3.34942415e-06 -1.55319085e-07 -2.16847963e-07
0.0257853        -4.34161638e-06 -1.66651234e-06 -2.17151739e-07 -1.26547932e-06 -1.70781722e-06 -3.82961052e-10 -3.07613706e-06 4.13048854e-08 -2.16768778e-07
0.0277911        -1.06198383e-06 6.54190571e-07 -2.16745242e-07 2.11467145e-06 6.65060329e-07 -3.56634705e-10 -3.17665527e-06 -1.08697578e-08 -2.16388607e-07
0.0297969        -3.69449639e-06 -1.24536010e-06 -2.11145393e-07 -7.76525339e-07 -1.40638275e-06 -3.99143021e-10 -2.91797105e-06 1.61022647e-07 -2.10746250e-07
0.0318027        5.81504206e-06 5.23692054e-06 -2.11545175e-07 9.27787892e-06 5.45764262e-06 -3.22280861e-10 -3.46283685e-06 -2.20722085e-07 -2.11222894e-07
0.0338085        3.44072825e-07 1.24984613e-06 -2.08382348e-07 3.75844310e-06 1.45659669e-06 -3.54631641e-10 -3.41437028e-06 -2.06750556e-07 -2.08027716e-07
0.0358143        -3.01415572e-06 -1.25141580e-06 -2.09272240e-07 1.52100816e-07 -1.18807983e-06 -3.52995088e-10 -3.16625654e-06 -6.33359714e-08 -2.08919245e-07
0.0378201        -3.01539680e-06 -1.55202690e-06 -2.11701875e-07 -1.92483434e-08 -1.58519067e-06 -3.50396244e-10 -2.99614846e-06 3.31637695e-08 -2.11351479e-07
0.0398259        -1.45867355e-07 2.12314620e-07 -2.11351926e-07 3.01210242e-06 3.00725991e-07 -3.32208658e-10 -3.15796978e-06 -8.84113708e-08 -2.11019717e-07
0.0418317        -2.60628343e-06 -1.89972104e-06 -2.07140863e-07 3.43230481e-07 -1.96605969e-06 -4.20993609e-10 -2.94951391e-06 6.63386501e-08 -2.06719870e-07
0.0438375        4.92176529e-06 3.22319624e-06 -2.06204195e-07 8.25815256e-06 3.43885350e-06 -3.64294979e-10 -3.33638726e-06 -2.15657257e-07 -2.05839900e-07
