time,f_inst_Hz
0.0000,0.500000
0.0100,0.500375
0.0200,0.500750
0.0300,0.501125
0.0400,0.501500
0.0500,0.501875
0.0600,0.502250
0.0700,0.502625
0.0800,0.503000
0.0900,0.503375
0.1000,0.503750
0.1100,0.504125
0.1200,0.504500
0.1300,0.504875
0.1400,0.505250
0.1500,0.505625
0.1600,0.506000
0.1700,0.506375
0.1800,0.506750
0.1900,0.507125
0.2000,0.507500
0.2100,0.507875
0.2200,0.508250
0.2300,0.508625
0.2400,0.509000
0.2500,0.509375
0.2600,0.509750
0.2700,0.510125
0.2800,0.510500
0.2900,0.510875
0.3000,0.511250
0.3100,0.511625
0.3200,0.512000
0.3300,0.512375
0.3400,0.512750
0.3500,0.513125
0.3600,0.513500
0.3700,0.513875
0.3800,0.514250
0.3900,0.514625
0.4000,0.515000
0.4100,0.515375
0.4200,0.515750
0.4300,0.516125
0.4400,0.516500
0.4500,0.516875
0.4600,0.517250
0.4700,0.517625
0.4800,0.518000
0.4900,0.518375
0.5000,0.518750
0.5100,0.519125
0.5200,0.519500
0.5300,0.519875
0.5400,0.520250
0.5500,0.520625
0.5600,0.521000
0.5700,0.521375
0.5800,0.521750
0.5900,0.522125
0.6000,0.522500
0.6100,0.522875
0.6200,0.523250
0.6300,0.523625
0.6400,0.524000
0.6500,0.524375
0.6600,0.524750
0.6700,0.525125
0.6800,0.525500
0.6900,0.525875
0.7000,0.526250
0.7100,0.526625
0.7200,0.527000
0.7300,0.527375
0.7400,0.527750
0.7500,0.528125
0.7600,0.528500
0.7700,0.528875
0.7800,0.529250
0.7900,0.529625
0.8000,0.530000
0.8100,0.530375
0.8200,0.530750
0.8300,0.531125
0.8400,0.531500
0.8500,0.531875
0.8600,0.532250
0.8700,0.532625
0.8800,0.533000
0.8900,0.533375
0.9000,0.533750
0.9100,0.534125
0.9200,0.534500
0.9300,0.534875
0.9400,0.535250
0.9500,0.535625
0.9600,0.536000
0.9700,0.536375
0.9800,0.536750
0.9900,0.537125
1.0000,0.537500
1.0100,0.537875
1.0200,0.538250
1.0300,0.538625
1.0400,0.539000
1.0500,0.539375
1.0600,0.539750
1.0700,0.540125
1.0800,0.540500
1.0900,0.540875
1.1000,0.541250
1.1100,0.541625
1.1200,0.542000
1.1300,0.542375
1.1400,0.542750
1.1500,0.543125
1.1600,0.543500
1.1700,0.543875
1.1800,0.544250
1.1900,0.544625
1.2000,0.545000
1.2100,0.545375
1.2200,0.545750
1.2300,0.546125
1.2400,0.546500
1.2500,0.546875
1.2600,0.547250
1.2700,0.547625
1.2800,0.548000
1.2900,0.548375
1.3000,0.548750
1.3100,0.549125
1.3200,0.549500
1.3300,0.549875
1.3400,0.550250
1.3500,0.550625
1.3600,0.551000
1.3700,0.551375
1.3800,0.551750
1.3900,0.552125
1.4000,0.552500
1.4100,0.552875
1.4200,0.553250
1.4300,0.553625
1.4400,0.554000
1.4500,0.554375
1.4600,0.554750
1.4700,0.555125
1.4800,0.555500
1.4900,0.555875
1.5000,0.556250
1.5100,0.556625
1.5200,0.557000
1.5300,0.557375
1.5400,0.557750
1.5500,0.558125
1.5600,0.558500
1.5700,0.558875
1.5800,0.559250
1.5900,0.559625
1.6000,0.560000
1.6100,0.560375
1.6200,0.560750
1.6300,0.561125
1.6400,0.561500
1.6500,0.561875
1.6600,0.562250
1.6700,0.562625
1.6800,0.563000
1.6900,0.563375
1.7000,0.563750
1.7100,0.564125
1.7200,0.564500
1.7300,0.564875
1.7400,0.565250
1.7500,0.565625
1.7600,0.566000
1.7700,0.566375
1.7800,0.566750
1.7900,0.567125
1.8000,0.567500
1.8100,0.567875
1.8200,0.568250
1.8300,0.568625
1.8400,0.569000
1.8500,0.569375
1.8600,0.569750
1.8700,0.570125
1.8800,0.570500
1.8900,0.570875
1.9000,0.571250
1.9100,0.571625
1.9200,0.572000
1.9300,0.572375
1.9400,0.572750
1.9500,0.573125
1.9600,0.573500
1.9700,0.573875
1.9800,0.574250
1.9900,0.574625
2.0000,0.575000
2.0100,0.575375
2.0200,0.575750
2.0300,0.576125
2.0400,0.576500
2.0500,0.576875
2.0600,0.577250
2.0700,0.577625
2.0800,0.578000
2.0900,0.578375
2.1000,0.578750
2.1100,0.579125
2.1200,0.579500
2.1300,0.579875
2.1400,0.580250
2.1500,0.580625
2.1600,0.581000
2.1700,0.581375
2.1800,0.581750
2.1900,0.582125
2.2000,0.582500
2.2100,0.582875
2.2200,0.583250
2.2300,0.583625
