# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      -1.44028244e-03 -1.70132928e-02 -1.54964668e+02 -1.44052128e-03 -1.70136677e-02 -1.54964673e+02 2.38845450e-07 3.74883391e-07 4.44027252e-06
0.0013191        -6.84850719e-03 -6.93783810e-04 -1.54964218e+02 -6.84856934e-03 -6.94199384e-04 -1.54964223e+02 6.21516976e-08 4.15574629e-07 4.31435326e-06
0.00218472       -1.21618755e-02 1.86012386e-05 -1.54964306e+02 -1.21618274e-02 1.82102888e-05 -1.54964310e+02 -4.81072686e-08 3.90949777e-07 3.82743962e-06
0.00322531       -1.72979783e-02 3.29758065e-04 -1.54964777e+02 -1.72978739e-02 3.29367486e-04 -1.54964781e+02 -1.04339070e-07 3.90578611e-07 4.06354388e-06
0.00446601       -2.42480777e-02 -8.74416927e-05 -1.54965156e+02 -2.42476378e-02 -8.79373886e-05 -1.54965159e+02 -4.39965175e-07 4.95695901e-07 2.48500584e-06
0.00595873       -3.35642020e-02 -1.80494021e-05 -1.54965136e+02 -3.35639747e-02 -1.86409409e-05 -1.54965139e+02 -2.27232460e-07 5.91538845e-07 2.28049515e-06
0.00773309       -4.19905371e-02 4.26546898e-05 -1.54965051e+02 -4.19896615e-02 4.22165270e-05 -1.54965053e+02 -8.75573109e-07 4.38162776e-07 2.16187317e-06
0.00987884       -5.39952216e-02 4.13993139e-06 -1.54964928e+02 -5.39934799e-02 3.70721951e-06 -1.54964927e+02 -1.74168669e-06 4.32711876e-07 -4.32005990e-07
0.0124537        -6.76604065e-02 -1.22874609e-05 -1.54964741e+02 -6.76581897e-02 -1.27273439e-05 -1.54964735e+02 -2.21678615e-06 4.39882975e-07 -6.18779946e-06
0.0155804        -8.51553487e-02 -1.17790487e-05 -1.54964652e+02 -8.51514631e-02 -1.22563364e-05 -1.54964640e+02 -3.88557434e-06 4.77287673e-07 -1.14285312e-05
0.0192508        -1.05035881e-01 -1.06316836e-05 -1.54964713e+02 -1.05028387e-01 -1.10457606e-05 -1.54964688e+02 -7.49485821e-06 4.14077047e-07 -2.55953975e-05
0.0237369        -1.29314918e-01 -1.03081289e-05 -1.54964729e+02 -1.29299944e-01 -1.06806426e-05 -1.54964677e+02 -1.49737384e-05 3.72513715e-07 -5.20206898e-05
0.0288211        -1.56701455e-01 -8.24161003e-06 -1.54964750e+02 -1.56673197e-01 -8.41932790e-06 -1.54964656e+02 -2.82583601e-05 1.77717876e-07 -9.41655773e-05
0.0339053        -1.83994313e-01 -1.18414085e-05 -1.54964835e+02 -1.83948213e-01 -1.21004834e-05 -1.54964689e+02 -4.61001519e-05 2.59074957e-07 -1.46320193e-04
0.0389895        -2.11071733e-01 -1.13877646e-05 -1.54964923e+02 -2.11004590e-01 -1.15429149e-05 -1.54964719e+02 -6.71421860e-05 1.55150370e-07 -2.04457785e-04
