# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      2.10402889e-03 -1.69211106e-04 -1.11715048e-08 2.10423637e-03 -1.69291645e-04 9.25051540e-12 -2.07478651e-07 8.05394929e-08 -1.11807553e-08
0.0013191        8.61565709e-05 -8.43872830e-04 -1.12182928e-08 8.63843907e-05 -8.43909447e-04 -3.69128284e-13 -2.27819820e-07 3.66164409e-08 -1.12179237e-08
0.00218472       1.00266746e-06 -1.50379086e-03 -1.10072096e-08 1.21804517e-06 -1.50387785e-03 1.49155115e-13 -2.15377712e-07 8.69936342e-08 -1.10073587e-08
0.00322531       -4.19478666e-05 -2.14855732e-03 -1.18664925e-08 -4.17324914e-05 -2.14880704e-03 1.62193799e-14 -2.15375109e-07 2.49720341e-07 -1.18665087e-08
0.00446601       1.27952083e-05 -3.01842284e-03 -1.60843924e-08 1.30739648e-05 -3.01882549e-03 1.45698085e-11 -2.78756493e-07 4.02656787e-07 -1.60989622e-08
0.00595873       2.45180340e-06 -4.17154833e-03 -1.58696918e-08 2.78286474e-06 -4.17257980e-03 2.09987132e-11 -3.31061336e-07 1.03146772e-06 -1.58906905e-08
0.00773309       -5.69590492e-06 -5.22551646e-03 -1.59187288e-08 -5.45135705e-06 -5.22697744e-03 2.18652106e-11 -2.44547876e-07 1.46098453e-06 -1.59405940e-08
0.00987884       -5.92811450e-07 -6.70921420e-03 -1.57745763e-08 -3.49860653e-07 -6.71130070e-03 3.96172785e-11 -2.42950797e-07 2.08650583e-06 -1.58141936e-08
0.0124537        1.41317708e-06 -8.40456469e-03 -1.40433528e-08 1.66209526e-06 -8.40791811e-03 2.85658661e-11 -2.48918185e-07 3.35341381e-06 -1.40719187e-08
0.0155804        1.66697180e-06 -1.05902211e-02 -1.31221392e-08 1.94245444e-06 -1.05947376e-02 4.52568116e-11 -2.75482642e-07 4.51645602e-06 -1.31673960e-08
0.0192508        1.33904463e-06 -1.30649838e-02 -1.11457275e-08 1.58044332e-06 -1.30704133e-02 1.45130138e-11 -2.41398687e-07 5.42951760e-06 -1.11602405e-08
0.0237369        1.41516615e-06 -1.60971903e-02 -1.08055117e-08 1.64460438e-06 -1.61029009e-02 -9.76897932e-12 -2.29438233e-07 5.71060312e-06 -1.07957427e-08
0.0288211        1.22577001e-06 -1.95283743e-02 -1.06450132e-08 1.36630357e-06 -1.95330877e-02 7.18244924e-12 -1.40533564e-07 4.71344809e-06 -1.06521957e-08
0.0339053        1.86724314e-06 -2.29618830e-02 -9.55738502e-09 2.02771608e-06 -2.29643370e-02 -7.43934163e-11 -1.60472939e-07 2.45401662e-06 -9.48299160e-09
0.0389895        1.81251760e-06 -2.63823794e-02 -8.57838354e-09 1.93379182e-06 -2.63821176e-02 -1.50367233e-10 -1.21274219e-07 -2.61737992e-07 -8.42801631e-09
0.0440737        2.40012526e-06 -2.97879694e-02 -6.92236124e-09 2.52934378e-06 -2.97854987e-02 -1.76084660e-10 -1.29218514e-07 -2.47070352e-06 -6.74627658e-09
0.0491579        2.03590297e-06 -3.31735727e-02 -6.28950674e-09 2.06197463e-06 -3.31697969e-02 -1.06885587e-10 -2.60716578e-08 -3.77582785e-06 -6.18262116e-09
0.0542421        3.90770863e-06 -3.65345913e-02 1.31165275e-09 4.14311915e-06 -3.65303510e-02 2.78759426e-11 -2.35410525e-07 -4.24029654e-06 1.28377681e-09
0.0593263        7.99324209e-07 -3.98703268e-02 -5.85289871e-09 6.63760515e-07 -3.98669870e-02 1.24612842e-10 1.35563694e-07 -3.33977971e-06 -5.97751155e-09
0.0644105        1.56019037e-06 -4.31541357e-02 1.09100765e-09 1.16882729e-06 -4.31510227e-02 1.62946337e-10 3.91363076e-07 -3.11301182e-06 9.28061310e-10
0.0694947        4.66512867e-06 -4.64588588e-02 -1.90755445e-09 4.41607502e-06 -4.64589733e-02 1.76438449e-10 2.49053654e-07 1.14540444e-07 -2.08399290e-09
0.0738526        -9.16423381e-06 -4.92580161e-02 -1.44893295e-08 -1.09236526e-05 -4.92627414e-02 1.90400204e-10 1.75941876e-06 4.72529555e-06 -1.46797297e-08
0.0771211        3.11080769e-05 -5.13643844e-02 1.75996795e-08 3.09299063e-05 -5.13726073e-02 1.55921586e-10 1.78170540e-07 8.22287061e-06 1.74437579e-08
0.0809342        -2.69961331e-06 -5.37167787e-02 -1.37207751e-08 -3.52627830e-06 -5.37279315e-02 1.52164761e-10 8.26664990e-07 1.11528370e-05 -1.38729399e-08
0.0847474        4.18405914e-06 -5.60485596e-02 -3.13129488e-09 3.41593789e-06 -5.60646702e-02 3.33538750e-11 7.68121253e-07 1.61106393e-05 -3.16464876e-09
0.0885605        1.30907480e-05 -5.83351808e-02 2.25562921e-08 1.32385722e-05 -5.83563178e-02 -7.90689641e-12 -1.47824197e-07 2.11369697e-05 2.25641990e-08
0.0923737        4.71094560e-06 -6.06343970e-02 1.73167556e-08 4.98477824e-06 -6.06588425e-02 -1.02550212e-10 -2.73832643e-07 2.44455269e-05 1.74193058e-08
0.0961868        3.57260408e-06 -6.28627962e-02 1.46256884e-08 3.90755513e-06 -6.28917672e-02 -1.56522992e-10 -3.34951046e-07 2.89710831e-05 1.47822114e-08
0.1              3.93683731e-06 -6.50406842e-02 1.54329286e-08 4.25202147e-06 -6.50739711e-02 -1.88480773e-10 -3.15184156e-07 3.32869470e-05 1.56214093e-08
0.104348         3.04219285e-06 -6.74610460e-02 8.57162384e-09 3.20004116e-06 -6.74991719e-02 -1.95671141e-10 -1.57848314e-07 3.81259546e-05 8.76729498e-09
0.10913          4.95206120e-06 -7.01099439e-02 2.18329199e-08 5.14197918e-06 -7.01525150e-02 -1.05148110e-10 -1.89917985e-07 4.25711002e-05 2.19380680e-08
0.114179         5.68349553e-06 -7.28797643e-02 2.60731282e-08 6.03802700e-06 -7.29265822e-02 -4.31043404e-11 -3.54531472e-07 4.68179098e-05 2.61162326e-08
0.119227         4.17013366e-06 -7.54543158e-02 3.17487597e-08 4.57294751e-06 -7.55055651e-02 5.30958957e-11 -4.02813847e-07 5.12493542e-05 3.16956638e-08
0.124275         -9.39087390e-06 -7.79904881e-02 5.23192732e-09 -1.02959710e-05 -7.80467328e-02 9.32498187e-11 9.05097087e-07 5.62447338e-05 5.13867750e-09
0.12579          5.44778236e-05 -7.91400602e-02 2.20295581e-08 5.41565405e-05 -7.91976707e-02 1.36702879e-10 3.21283075e-07 5.76104432e-05 2.18928553e-08
0.1276           9.62848525e-07 -7.99309620e-02 1.74706033e-08 5.41425616e-07 -7.99905766e-02 2.88998629e-11 4.21422909e-07 5.96146199e-05 1.74417034e-08
0.129729         3.13431168e-06 -8.07818028e-02 1.87620416e-08 2.59063725e-06 -8.08431097e-02 3.38775772e-11 5.43674435e-07 6.13069458e-05 1.87281641e-08
0.132239         7.96132200e-06 -8.18522505e-02 1.08992810e-08 7.36596060e-06 -8.19149786e-02 3.88717146e-12 5.95361395e-07 6.27280704e-05 1.08953939e-08
0.135062         9.45175018e-06 -8.30763510e-02 1.58454494e-08 9.08165864e-06 -8.31402086e-02 1.29187169e-11 3.70091541e-07 6.38576672e-05 1.58325307e-08
0.138309         4.37864683e-06 -8.44600815e-02 1.64797171e-08 4.08251078e-06 -8.45248288e-02 -2.26879368e-11 2.96136044e-07 6.47472588e-05 1.65024051e-08
0.141938         4.40191628e-06 -8.59761679e-02 1.54290323e-08 4.17560152e-06 -8.60414556e-02 -1.52008151e-11 2.26314758e-07 6.52877016e-05 1.54442331e-08
0.146085         5.08617823e-06 -8.76089689e-02 1.66385479e-08 4.96712383e-06 -8.76743515e-02 -9.07189863e-12 1.19054395e-07 6.53825766e-05 1.66476198e-08
0.150233         4.97713760e-06 -8.92189299e-02 1.64905199e-08 4.89257751e-06 -8.92837009e-02 -7.84560141e-11 8.45600844e-08 6.47710284e-05 1.65689759e-08
0.154757         4.61706310e-06 -9.08344493e-02 1.74410158e-08 4.56955557e-06 -9.08976542e-02 -1.07074194e-11 4.75075306e-08 6.32049120e-05 1.74517233e-08
0.159784         4.66837343e-06 -9.24966213e-02 1.92212175e-08 4.65679301e-06 -9.25566536e-02 9.35777870e-12 1.15804215e-08 6.00322302e-05 1.92118598e-08
0.164811         4.44909225e-06 -9.40268954e-02 2.08179150e-08 4.47111285e-06 -9.40828281e-02 -5.14429828e-11 -2.20206003e-08 5.59327346e-05 2.08693580e-08
0.169838         4.84953132e-06 -9.54040320e-02 2.20558848e-08 4.90787406e-06 -9.54545753e-02 -3.25571650e-11 -5.83427367e-08 5.05432775e-05 2.20884419e-08
0.174865         -1.07415400e-05 -9.66566481e-02 3.21778153e-08 -1.18006260e-05 -9.67027197e-02 4.90471596e-11 1.05908597e-06 4.60715933e-05 3.21287681e-08
0.176436         4.65952085e-05 -9.70867575e-02 -2.19390004e-09 4.52820728e-05 -9.71308958e-02 -1.24325403e-10 1.31313572e-06 4.41383282e-05 -2.06957464e-09
0.178249         7.72561465e-06 -9.74539967e-02 -4.40265040e-09 6.58430330e-06 -9.74953527e-02 -1.20359443e-11 1.14131135e-06 4.13560328e-05 -4.39061446e-09
0.180226         5.24980304e-06 -9.78060590e-02 -7.94134424e-09 4.09025082e-06 -9.78447077e-02 -4.60298296e-11 1.15955223e-06 3.86486525e-05 -7.89531441e-09
0.182203         1.39127988e-05 -9.81433747e-02 -1.62601697e-10 1.29525757e-05 -9.81791396e-02 4.59084225e-11 9.60223103e-07 3.57649900e-05 -2.08510119e-10
0.184181         5.68409420e-06 -9.84438784e-02 -3.54427643e-09 4.47986159e-06 -9.84767941e-02 5.01904318e-11 1.20423261e-06 3.29157199e-05 -3.59446687e-09
0.185938         -5.31624191e-07 -9.87598215e-02 -4.27318497e-10 -1.90355883e-06 -9.87902148e-02 3.00491465e-12 1.37193464e-06 3.03933283e-05 -4.30323412e-10
0.187947         3.09989815e-06 -9.89997400e-02 2.11864128e-09 1.75468732e-06 -9.90265925e-02 -1.94486470e-11 1.34521083e-06 2.68525683e-05 2.13808993e-09
0.190358         5.10391223e-06 -9.92951785e-02 5.45397042e-09 3.81761398e-06 -9.93173483e-02 -6.55098191e-12 1.28629825e-06 2.21698754e-05 5.46052140e-09
0.192768         4.04947052e-06 -9.95524169e-02 8.96037555e-09 2.84476030e-06 -9.95695395e-02 -9.55540148e-11 1.20471022e-06 1.71225567e-05 9.05592957e-09
0.195179         5.22911608e-06 -9.97740680e-02 1.19535970e-08 4.10474086e-06 -9.97858489e-02 -1.40784973e-10 1.12437522e-06 1.17809226e-05 1.20943820e-08
0.197589         4.61029256e-06 -9.99554947e-02 1.38799596e-08 3.54618208e-06 -9.99616420e-02 -1.81632679e-10 1.06411048e-06 6.14731348e-06 1.40615923e-08
0.2              4.81661319e-06 -1.00091643e-01 1.55588829e-08 3.81239980e-06 -1.00091871e-01 -2.03961342e-10 1.00421339e-06 2.28309237e-07 1.57628442e-08
0.202703         4.45846632e-06 -1.00203053e-01 1.75388881e-08 3.51132600e-06 -1.00196267e-01 -2.27828809e-10 9.47140319e-07 -6.78516418e-06 1.77667170e-08
0.205743         4.77714744e-06 -1.00229017e-01 2.32392375e-08 4.03738453e-06 -1.00213353e-01 -1.83086408e-10 7.39762911e-07 -1.56638632e-05 2.34223239e-08
0.20911          3.91278631e-06 -1.00239940e-01 2.47734523e-08 3.23450468e-06 -1.00214212e-01 -1.04119134e-10 6.78281629e-07 -2.57274830e-05 2.48775714e-08
0.212476         3.74464163e-06 -1.00128715e-01 2.63516620e-08 3.13922924e-06 -1.00092403e-01 -4.39345683e-11 6.05412395e-07 -3.63119411e-05 2.63955965e-08
0.216123         3.41515996e-06 -9.99179923e-02 2.81021057e-08 2.87466392e-06 -9.98695233e-02 -9.35350187e-13 5.40496037e-07 -4.84690666e-05 2.81030410e-08
0.219935         3.36224759e-06 -9.95767857e-02 3.15006740e-08 2.91903391e-06 -9.95147951e-02 4.57228010e-11 4.43213687e-07 -6.19905713e-05 3.14549512e-08
0.223939         3.02932525e-06 -9.91052428e-02 3.21738325e-08 2.60592027e-06 -9.90284518e-02 -5.10259394e-11 4.23404980e-07 -7.67910902e-05 3.22248584e-08
0.228413         2.91338693e-06 -9.84171946e-02 3.65878830e-08 2.58863688e-06 -9.83226690e-02 3.94235532e-11 3.24750053e-07 -9.45255814e-05 3.65484594e-08
0.233185         2.59181211e-06 -9.75066393e-02 3.91580493e-08 2.31620203e-06 -9.73922518e-02 2.31778409e-10 2.75610082e-07 -1.14387464e-04 3.89262709e-08
0.238325         2.49534363e-06 -9.63120382e-02 4.27852376e-08 2.26230324e-06 -9.61751027e-02 7.26470855e-10 2.33040390e-07 -1.36935405e-04 4.20587667e-08
