# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      -3.35689398e-03 9.09738612e-03 -1.54964573e+02 -3.35612622e-03 9.09770863e-03 -1.54964573e+02 -7.67760074e-07 -3.22505347e-07 -7.63264493e-07
0.0013191        -1.49741872e-02 1.15888490e-03 -1.54964326e+02 -1.49732110e-02 1.15895090e-03 -1.54964325e+02 -9.76222821e-07 -6.60035444e-08 -8.67546722e-07
0.00218472       -2.59698149e-02 -1.00643247e-04 -1.54964546e+02 -2.59687583e-02 -1.00609653e-04 -1.54964545e+02 -1.05661739e-06 -3.35943744e-08 -1.19262571e-06
0.00322531       -3.71129537e-02 -3.83583766e-04 -1.54964948e+02 -3.71116560e-02 -3.83515648e-04 -1.54964947e+02 -1.29767215e-06 -6.81178596e-08 -9.86452884e-07
0.00446601       -5.28111733e-02 8.27833572e-05 -1.54965091e+02 -5.28094150e-02 8.28986707e-05 -1.54965087e+02 -1.75829931e-06 -1.15313469e-07 -3.88865112e-06
0.00595873       -7.01627709e-02 -1.15559572e-06 -1.54965063e+02 -7.01605315e-02 -1.11293202e-06 -1.54965060e+02 -2.23944429e-06 -4.26637018e-08 -2.63322562e-06
0.00773309       -9.08180494e-02 1.23516141e-05 -1.54964970e+02 -9.08147959e-02 1.23557865e-05 -1.54964966e+02 -3.25350569e-06 -4.17233519e-09 -4.30591765e-06
0.00987884       -1.15665490e-01 7.57781602e-06 -1.54964826e+02 -1.15660911e-01 7.62787728e-06 -1.54964817e+02 -4.57950568e-06 -5.00612597e-08 -9.70500959e-06
0.0124537        -1.46087122e-01 3.79910086e-07 -1.54964664e+02 -1.46080318e-01 4.24082396e-07 -1.54964648e+02 -6.80431107e-06 -4.41723098e-08 -1.62896798e-05
0.0155804        -1.82619316e-01 6.54409900e-06 -1.54964698e+02 -1.82607271e-01 6.48048906e-06 -1.54964667e+02 -1.20449214e-05 6.36099434e-08 -3.13471045e-05
0.0192508        -2.25307412e-01 1.09872940e-05 -1.54964734e+02 -2.25285780e-01 1.09008415e-05 -1.54964675e+02 -2.16326026e-05 8.64525684e-08 -5.91612257e-05
0.0237369        -2.77225072e-01 1.25476176e-05 -1.54964704e+02 -2.77185756e-01 1.25500133e-05 -1.54964595e+02 -3.93154760e-05 -2.39577379e-09 -1.08620216e-04
0.0288211        -3.35752824e-01 1.52923963e-05 -1.54964717e+02 -3.35685299e-01 1.53267377e-05 -1.54964535e+02 -6.75243563e-05 -3.43414767e-08 -1.82597286e-04
0.0339053        -3.93899935e-01 1.99015399e-05 -1.54964914e+02 -3.93799412e-01 2.00863902e-05 -1.54964649e+02 -1.00522984e-04 -1.84850238e-07 -2.64946882e-04
0.0389895        -4.51413798e-01 2.08102481e-05 -1.54965113e+02 -4.51278272e-01 2.09959544e-05 -1.54964766e+02 -1.35526190e-04 -1.85706322e-07 -3.47870700e-04
0.0440737        -5.08227000e-01 2.62086195e-05 -1.54965325e+02 -5.08055007e-01 2.63455493e-05 -1.54964900e+02 -1.71993343e-04 -1.36929711e-07 -4.25305503e-04
