# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      -1.18527087e-03 -4.14948992e-04 -1.73405070e-08 -1.18537627e-03 -4.14482223e-04 -7.90441838e-13 1.05393885e-07 -4.66768639e-07 -1.73397166e-08
0.0013191        -1.47014469e-04 -1.85228093e-03 -1.75140078e-08 -1.46974847e-04 -1.85181867e-03 -5.87135712e-14 -3.96216124e-08 -4.62266052e-07 -1.75139491e-08
0.00218472       1.30343147e-05 -3.21965313e-03 -1.73454174e-08 1.30923890e-05 -3.21938339e-03 -1.03698635e-14 -5.80743625e-08 -2.69739829e-07 -1.73454071e-08
0.00322531       4.75858731e-05 -4.59261587e-03 -1.69847452e-08 4.76230950e-05 -4.59263480e-03 -1.51907660e-14 -3.72219078e-08 1.89293057e-08 -1.69847301e-08
0.00446601       -1.26747997e-05 -6.58390683e-03 -2.12542935e-08 -1.26702902e-05 -6.58443691e-03 -4.23661333e-11 -4.50949414e-09 5.30079946e-07 -2.12119273e-08
0.00595873       -4.09313521e-07 -8.72292943e-03 -2.10582600e-08 -3.59464840e-07 -8.72431813e-03 1.79348777e-12 -4.98486810e-08 1.38870216e-06 -2.10600535e-08
0.00773309       -1.89425980e-06 -1.12860474e-02 -2.09258137e-08 -1.82067187e-06 -1.12885291e-02 1.75963959e-11 -7.35879252e-08 2.48166349e-06 -2.09434101e-08
0.00987884       -1.11819677e-06 -1.43715910e-02 -1.99394981e-08 -1.06949806e-06 -1.43757557e-02 2.34156139e-11 -4.86987158e-08 4.16470490e-06 -1.99629137e-08
0.0124537        -3.45164518e-07 -1.81622062e-02 -2.12350886e-08 -2.99978722e-07 -1.81685589e-02 4.41827125e-11 -4.51857956e-08 6.35267523e-06 -2.12792714e-08
0.0155804        -1.14855326e-06 -2.27043751e-02 -1.92026235e-08 -1.05634237e-06 -2.27128423e-02 3.86820169e-11 -9.22108965e-08 8.46717882e-06 -1.92413055e-08
0.0192508        -1.71742931e-06 -2.80273432e-02 -1.62778567e-08 -1.63405590e-06 -2.80378801e-02 6.65662448e-11 -8.33734145e-08 1.05369316e-05 -1.63444229e-08
0.0237369        -2.14023332e-06 -3.45104182e-02 -1.43989742e-08 -2.10259476e-06 -3.45223729e-02 4.00699269e-11 -3.76385559e-08 1.19547056e-05 -1.44390441e-08
0.0288211        -2.57244594e-06 -4.18407013e-02 -9.15949886e-09 -2.52978071e-06 -4.18526157e-02 -4.90393779e-11 -4.26652340e-08 1.19144031e-05 -9.11045948e-09
0.0339053        -3.30410541e-06 -4.91539927e-02 -7.43968549e-09 -3.33843231e-06 -4.91659701e-02 -2.45486460e-10 3.43268953e-08 1.19774794e-05 -7.19419903e-09
0.0389895        -3.38181864e-06 -5.64160796e-02 -3.34269088e-09 -3.42259273e-06 -5.64298711e-02 -3.11106018e-10 4.07740932e-08 1.37914094e-05 -3.03158486e-09
0.0440737        -4.14058807e-06 -6.36195932e-02 -5.17309969e-09 -4.15755060e-06 -6.36373022e-02 -2.50274681e-10 1.69625322e-08 1.77090336e-05 -4.92282501e-09
0.0491579        -3.65282755e-06 -7.07563422e-02 9.99540312e-10 -3.61955744e-06 -7.07809853e-02 -3.46683218e-11 -3.32701063e-08 2.46431043e-05 1.03420863e-09
0.0542421        -4.81423768e-06 -7.78117242e-02 -1.07168452e-09 -4.82804307e-06 -7.78454327e-02 1.74055515e-10 1.38053901e-08 3.37084847e-05 -1.24574004e-09
0.0593263        -5.17077204e-06 -8.47729200e-02 1.73414389e-09 -5.08969425e-06 -8.48172931e-02 2.22822969e-10 -8.10777890e-08 4.43730394e-05 1.51132092e-09
0.0644105        -5.27508571e-06 -9.16309737e-02 9.61234885e-09 -5.11913257e-06 -9.16872878e-02 2.75261957e-10 -1.55953134e-07 5.63141098e-05 9.33708689e-09
0.0694947        -3.27415882e-06 -9.84214453e-02 2.88964190e-08 -2.36919688e-06 -9.84919073e-02 2.92842034e-10 -9.04961940e-07 7.04619528e-05 2.86035769e-08
