# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      -8.78919549e-03 -2.17596601e-02 -1.54964406e+02 -8.78147505e-03 -2.17790591e-02 -1.54964355e+02 -7.72043531e-06 1.93990700e-05 -5.17430268e-05
0.0013191        -2.33698981e-02 -1.57422486e-02 -1.54964813e+02 -2.33617593e-02 -1.57612768e-02 -1.54964763e+02 -8.13886217e-06 1.90282602e-05 -5.05184271e-05
0.00218472       -3.88963752e-02 -1.56124855e-02 -1.54965089e+02 -3.88880889e-02 -1.56312950e-02 -1.54965038e+02 -8.28632228e-06 1.88095317e-05 -5.09761661e-05
0.00322531       -5.73666802e-02 -1.56497907e-02 -1.54965067e+02 -5.73580412e-02 -1.56683711e-02 -1.54965016e+02 -8.63896327e-06 1.85804596e-05 -5.11110328e-05
0.00446601       -8.11576414e-02 -1.61941999e-02 -1.54964633e+02 -8.11489647e-02 -1.62130373e-02 -1.54964582e+02 -8.67667218e-06 1.88373779e-05 -5.08833577e-05
0.00595873       -1.07154883e-01 -1.58246193e-02 -1.54964767e+02 -1.07145277e-01 -1.58432151e-02 -1.54964717e+02 -9.60647044e-06 1.85957997e-05 -5.04514386e-05
0.00773309       -1.39067238e-01 -1.57745121e-02 -1.54964898e+02 -1.39056365e-01 -1.57924367e-02 -1.54964847e+02 -1.08731400e-05 1.79245886e-05 -5.08655575e-05
0.00987884       -1.77178693e-01 -1.57521196e-02 -1.54964955e+02 -1.77165483e-01 -1.57695415e-02 -1.54964897e+02 -1.32106585e-05 1.74218823e-05 -5.72573364e-05
0.0124537        -2.23074327e-01 -1.57537622e-02 -1.54964884e+02 -2.23057027e-01 -1.57709371e-02 -1.54964814e+02 -1.73004603e-05 1.71749055e-05 -6.96983449e-05
0.0155804        -2.79209488e-01 -1.56816439e-02 -1.54964792e+02 -2.79183212e-01 -1.56976025e-02 -1.54964700e+02 -2.62763861e-05 1.59586107e-05 -9.19280305e-05
0.0192508        -3.44494710e-01 -1.56186442e-02 -1.54964747e+02 -3.44452863e-01 -1.56331918e-02 -1.54964615e+02 -4.18476496e-05 1.45476217e-05 -1.31808181e-04
0.0237369        -4.23837705e-01 -1.55093811e-02 -1.54964688e+02 -4.23768819e-01 -1.55220017e-02 -1.54964489e+02 -6.88855191e-05 1.26206095e-05 -1.99274264e-04
0.0288211        -5.13196079e-01 -1.53519613e-02 -1.54964711e+02 -5.13087676e-01 -1.53619234e-02 -1.54964418e+02 -1.08402915e-04 9.96202651e-06 -2.92607880e-04
0.0339053        -6.01919796e-01 -1.52050144e-02 -1.54965007e+02 -6.01767937e-01 -1.52136483e-02 -1.54964611e+02 -1.51859239e-04 8.63387850e-06 -3.96291291e-04
0.0389895        -6.89620723e-01 -1.50056785e-02 -1.54965369e+02 -6.89423093e-01 -1.50128551e-02 -1.54964873e+02 -1.97629989e-04 7.17667232e-06 -4.96207706e-04
0.0440737        -7.76107051e-01 -1.47936055e-02 -1.54966128e+02 -7.75860144e-01 -1.47992975e-02 -1.54965548e+02 -2.46906516e-04 5.69199420e-06 -5.80841819e-04
0.0491579        -8.61264918e-01 -1.45975521e-02 -1.54965921e+02 -8.60968488e-01 -1.46030887e-02 -1.54965270e+02 -2.96430489e-04 5.53658146e-06 -6.50654900e-04
0.0523355        -9.16130291e-01 -1.43120416e-02 -1.54966281e+02 -9.15808232e-01 -1.43165625e-02 -1.54965596e+02 -3.22058716e-04 4.52081021e-06 -6.84327028e-04
0.056002         -9.74809858e-01 -1.42092333e-02 -1.54966108e+02 -9.74450686e-01 -1.42139330e-02 -1.54965387e+02 -3.59172498e-04 4.69967484e-06 -7.20586980e-04
0.0596685        -1.03385402e+00 -1.38874280e-02 -1.54966309e+02 -1.03345999e+00 -1.38910535e-02 -1.54965558e+02 -3.94031056e-04 3.62547006e-06 -7.50816471e-04
