# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      2.90155127e-03 -9.97705039e-04 -3.82951613e-07 2.91432253e-03 -9.91225446e-04 6.68173316e-12 -1.27712600e-05 -6.47959297e-06 -3.82958295e-07
0.0013191        1.93738852e-03 -2.89642060e-03 -3.65366171e-07 1.95006414e-03 -2.88992150e-03 -4.53541760e-14 -1.26756235e-05 -6.49909401e-06 -3.65366126e-07
0.00218472       1.92376846e-03 -4.82210865e-03 -3.61390584e-07 1.93647478e-03 -4.81590341e-03 1.00040925e-13 -1.27063208e-05 -6.20524605e-06 -3.61390684e-07
0.00322531       1.92875894e-03 -7.10779513e-03 -3.56670419e-07 1.94151156e-03 -7.10204538e-03 1.20364311e-13 -1.27526200e-05 -5.74975117e-06 -3.56670539e-07
0.00446601       2.01673051e-03 -1.01324336e-02 -3.87029978e-07 2.02929309e-03 -1.01280509e-02 -1.21098170e-10 -1.25625728e-05 -4.38265142e-06 -3.86908880e-07
0.00595873       1.95952940e-03 -1.33227284e-02 -3.72975745e-07 1.97217034e-03 -1.33196141e-02 -1.83747044e-10 -1.26409376e-05 -3.11425482e-06 -3.72791998e-07
0.00773309       1.95210005e-03 -1.72885067e-02 -3.57710377e-07 1.96462079e-03 -1.72872967e-02 -2.20901598e-10 -1.25207390e-05 -1.21000737e-06 -3.57489475e-07
0.00987884       1.95075639e-03 -2.20236330e-02 -3.33179755e-07 1.96331076e-03 -2.20249373e-02 -2.19323585e-10 -1.25543688e-05 1.30427817e-06 -3.32960432e-07
0.0124537        1.95288908e-03 -2.77323978e-02 -3.02222918e-07 1.96567053e-03 -2.77368775e-02 -2.74215242e-10 -1.27814506e-05 4.47970963e-06 -3.01948703e-07
0.0155804        1.94446550e-03 -3.47191825e-02 -2.61645662e-07 1.95701839e-03 -3.47268416e-02 -3.35799426e-10 -1.25528882e-05 7.65905129e-06 -2.61309863e-07
0.0192508        1.94000226e-03 -4.28580736e-02 -2.30433404e-07 1.95230842e-03 -4.28690602e-02 -5.11446235e-10 -1.23061609e-05 1.09865849e-05 -2.29921958e-07
0.0237369        1.93064473e-03 -5.27654783e-02 -2.05024370e-07 1.94249744e-03 -5.27796335e-02 -8.81969721e-10 -1.18527091e-05 1.41552406e-05 -2.04142400e-07
0.0288211        1.91659841e-03 -6.39557666e-02 -1.77539747e-07 1.92761917e-03 -6.39729482e-02 -1.09329396e-09 -1.10207642e-05 1.71816502e-05 -1.76446453e-07
0.0339053        1.90629969e-03 -7.51126912e-02 -1.32566200e-07 1.91725360e-03 -7.51347749e-02 -1.18028255e-09 -1.09539163e-05 2.20836864e-05 -1.31385918e-07
0.0389895        1.88892901e-03 -8.61827072e-02 -8.74804926e-08 1.89980635e-03 -8.62129457e-02 -9.89218236e-10 -1.08773348e-05 3.02384951e-05 -8.64912743e-08
0.0440737        1.87073490e-03 -9.71441206e-02 -3.00515048e-08 1.88148836e-03 -9.71851903e-02 -4.16875944e-10 -1.07534589e-05 4.10696818e-05 -2.96346289e-08
0.0491579        1.85688105e-03 -1.07994101e-01 2.48538555e-08 1.86841371e-03 -1.08050596e-01 -1.30860234e-10 -1.15326573e-05 5.64948969e-05 2.49847158e-08
0.0523355        1.82482151e-03 -1.15101548e-01 7.62927697e-08 1.83625711e-03 -1.15171641e-01 2.12291368e-10 -1.14356019e-05 7.00927963e-05 7.60804783e-08
0.056002         1.82173556e-03 -1.22598974e-01 1.23705560e-07 1.83386767e-03 -1.22683877e-01 2.84841826e-10 -1.21321150e-05 8.49029868e-05 1.23420718e-07
0.0596685        1.78587636e-03 -1.30218522e-01 1.64362508e-07 1.79780307e-03 -1.30321594e-01 3.96655239e-10 -1.19267079e-05 1.03071757e-04 1.63965852e-07
0.0606522        1.80944722e-03 -1.34150871e-01 1.91693900e-07 1.82190229e-03 -1.34258326e-01 2.81967532e-10 -1.24550747e-05 1.07455587e-04 1.91411933e-07
0.0617765        1.78615234e-03 -1.35792644e-01 2.13173376e-07 1.79860135e-03 -1.35906033e-01 2.74727681e-10 -1.24490076e-05 1.13389229e-04 2.12898649e-07
0.0630506        1.77670121e-03 -1.37925932e-01 2.26548782e-07 1.78922642e-03 -1.38045785e-01 5.02920972e-10 -1.25252091e-05 1.19852990e-04 2.26045861e-07
