# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      -3.86147356e-02 -5.36776343e-04 -1.54964309e+02 -3.86143192e-02 -5.36362290e-04 -1.54964309e+02 -4.16425489e-07 -4.14053071e-07 -2.39795502e-07
0.0013191        -7.52074818e-02 3.29944210e-04 -1.54965159e+02 -7.52066076e-02 3.30498809e-04 -1.54965159e+02 -8.74179816e-07 -5.54598234e-07 -2.81736209e-07
0.00218472       -1.24342455e-01 7.78059773e-05 -1.54964967e+02 -1.24340944e-01 7.83184162e-05 -1.54964966e+02 -1.51081706e-06 -5.12438908e-07 -2.99907617e-07
0.00322531       -1.83748883e-01 1.02037327e-05 -1.54964850e+02 -1.83746169e-01 1.07331900e-05 -1.54964849e+02 -2.71337965e-06 -5.29457261e-07 -5.65786177e-07
0.00446601       -2.59942051e-01 -1.19243932e-05 -1.54964719e+02 -2.59937760e-01 -1.14579534e-05 -1.54964713e+02 -4.29130961e-06 -4.66439740e-07 -5.56021966e-06
0.00595873       -3.43122262e-01 1.68191911e-05 -1.54964695e+02 -3.43114981e-01 1.73348410e-05 -1.54964690e+02 -7.28151563e-06 -5.15649880e-07 -4.95782816e-06
0.00773309       -4.45090940e-01 6.96779674e-06 -1.54964738e+02 -4.45078590e-01 7.54713085e-06 -1.54964726e+02 -1.23496391e-05 -5.79334107e-07 -1.17093684e-05
0.00987884       -5.68233789e-01 9.92206432e-06 -1.54964706e+02 -5.68212223e-01 1.05557233e-05 -1.54964677e+02 -2.15663148e-05 -6.33658933e-07 -2.91315054e-05
0.0124537        -7.16002117e-01 5.20977118e-06 -1.54964640e+02 -7.15964267e-01 5.84667693e-06 -1.54964579e+02 -3.78492517e-05 -6.36905749e-07 -6.16132153e-05
0.0155804        -8.95122495e-01 -1.35203389e-06 -1.54964573e+02 -8.95056039e-01 -8.45953878e-07 -1.54964454e+02 -6.64563307e-05 -5.06080009e-07 -1.19333877e-04
0.0192508        -1.10486403e+00 3.72464280e-07 -1.54964619e+02 -1.10475217e+00 6.96222035e-07 -1.54964408e+02 -1.11862094e-04 -3.23757755e-07 -2.10445622e-04
0.0237369        -1.36035151e+00 4.00876418e-06 -1.54965266e+02 -1.36016975e+00 4.54114844e-06 -1.54964921e+02 -1.81765537e-04 -5.32384252e-07 -3.44691145e-04
0.0288211        -1.64732711e+00 2.59439886e-06 -1.54965541e+02 -1.64705733e+00 3.11603489e-06 -1.54965039e+02 -2.69776922e-04 -5.21636025e-07 -5.01556144e-04
0.0339053        -1.93314564e+00 9.00341216e-07 -1.54966284e+02 -1.93278528e+00 1.26742147e-06 -1.54965645e+02 -3.60363094e-04 -3.67080251e-07 -6.39733850e-04
