# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      4.11959323e-05 -4.79169676e-03 -8.42656267e-09 4.08913304e-05 -4.79162658e-03 6.42220561e-13 3.04601907e-07 -7.01819624e-08 -8.42720489e-09
0.0013191        -4.49677536e-05 -9.30440765e-03 -8.06519213e-09 -4.53418283e-05 -9.30468018e-03 2.50519075e-14 3.74074761e-07 2.72535294e-07 -8.06521718e-09
0.00218472       -7.41058737e-06 -1.53923748e-02 -7.93486907e-09 -7.76847538e-06 -1.53934637e-02 -1.08843701e-13 3.57888018e-07 1.08896015e-06 -7.93476023e-09
0.00322531       -1.01455943e-06 -2.27417476e-02 -7.97180380e-09 -1.38196255e-06 -2.27442345e-02 -4.83459111e-14 3.67403124e-07 2.48694128e-06 -7.97175546e-09
0.00446601       6.84056189e-07 -3.24225754e-02 -9.43351471e-09 3.74929872e-07 -3.24278367e-02 -1.72713258e-11 3.09126317e-07 5.26127083e-06 -9.41624338e-09
0.00595873       -2.48818240e-06 -4.26455336e-02 -1.06297934e-08 -2.83349473e-06 -4.26546960e-02 3.36232248e-11 3.45312326e-07 9.16240364e-06 -1.06634166e-08
0.00773309       -7.32939427e-07 -5.53118397e-02 -1.10786893e-08 -1.12449900e-06 -5.53265196e-02 1.70176640e-12 3.91559569e-07 1.46798547e-05 -1.10803910e-08
0.00987884       -1.18737174e-06 -7.06181360e-02 -1.20095727e-08 -1.61178890e-06 -7.06402747e-02 3.04714589e-11 4.24417156e-07 2.21387384e-05 -1.20400441e-08
0.0124537        -4.26211624e-07 -8.89994041e-02 -1.19233096e-08 -8.45684515e-07 -8.90314149e-02 5.47720151e-11 4.19472891e-07 3.20107753e-05 -1.19780816e-08
0.0155804        5.37866776e-07 -1.11295512e-01 -1.12556895e-08 1.97062558e-07 -1.11340406e-01 4.38486140e-11 3.40804218e-07 4.48943127e-05 -1.12995381e-08
0.0192508        3.24065551e-07 -1.37438338e-01 -9.39961721e-09 5.64087748e-08 -1.37499768e-01 -3.40451218e-12 2.67656776e-07 6.14303336e-05 -9.39621270e-09
