# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.903448         -5.10880780e-02 7.86306551e-04 -1.54971563e+02 -5.04500416e-02 8.12548279e-04 -1.54973217e+02 -6.38036479e-04 -2.62417280e-05 1.65372335e-03
0.904197         1.11636262e-02 -1.46984268e-04 -1.54987476e+02 1.18040025e-02 -1.20335505e-04 -1.54989132e+02 -6.40376366e-04 -2.66487627e-05 1.65612371e-03
0.904976         1.17675574e-02 -5.25429682e-05 -1.54981738e+02 1.24214180e-02 -2.59821450e-05 -1.54983388e+02 -6.53860600e-04 -2.65608232e-05 1.64930998e-03
0.905788         1.36593528e-02 -4.08056726e-05 -1.54976691e+02 1.43266496e-02 -1.42789655e-05 -1.54978336e+02 -6.67296825e-04 -2.65267070e-05 1.64560211e-03
0.906644         1.68777333e-02 -3.55495777e-05 -1.54972625e+02 1.75576133e-02 -9.02951741e-06 -1.54974268e+02 -6.79879976e-04 -2.65200602e-05 1.64325246e-03
0.907551         2.17376937e-02 -3.28568736e-05 -1.54970078e+02 2.24294069e-02 -6.34799418e-06 -1.54971720e+02 -6.91713228e-04 -2.65088794e-05 1.64282325e-03
0.908514         2.76777887e-02 -3.39769512e-05 -1.54968677e+02 2.83807768e-02 -7.47215432e-06 -1.54970321e+02 -7.02988077e-04 -2.65047969e-05 1.64346607e-03
0.909542         3.46041619e-02 -3.34390574e-05 -1.54967763e+02 3.53179156e-02 -6.94095503e-06 -1.54969408e+02 -7.13753720e-04 -2.64981024e-05 1.64493287e-03
0.910606         4.21741718e-02 -3.30141354e-05 -1.54967119e+02 4.28978289e-02 -6.48219284e-06 -1.54968765e+02 -7.23657169e-04 -2.65319425e-05 1.64604766e-03
0.911683         5.01006944e-02 -3.26507626e-05 -1.54966638e+02 5.08331148e-02 -6.11277851e-06 -1.54968285e+02 -7.32420350e-04 -2.65379841e-05 1.64742148e-03
0.912773         5.83174045e-02 -2.54505838e-05 -1.54966254e+02 5.90575498e-02 1.16532387e-06 -1.54967904e+02 -7.40145373e-04 -2.66159077e-05 1.64936804e-03
0.91385          6.63869341e-02 -3.25320112e-05 -1.54965998e+02 6.71338379e-02 -5.95820829e-06 -1.54967647e+02 -7.46903722e-04 -2.65738029e-05 1.64977270e-03
0.914914         7.44813491e-02 -2.99118896e-05 -1.54965776e+02 7.52341617e-02 -3.38684818e-06 -1.54967426e+02 -7.52812575e-04 -2.65250414e-05 1.64964270e-03
0.915977         8.25681779e-02 -3.36095702e-05 -1.54965584e+02 8.33262313e-02 -7.16073314e-06 -1.54967233e+02 -7.58053406e-04 -2.64488371e-05 1.64886316e-03
0.917041         9.05328060e-02 -3.35272187e-05 -1.54965440e+02 9.12954180e-02 -7.18685986e-06 -1.54967087e+02 -7.62611973e-04 -2.63403588e-05 1.64696230e-03
