# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.903448         -1.42398306e-04 -8.35388500e-03 -1.02033972e-06 -1.59977883e-04 -8.37666559e-03 -1.90158990e-09 1.75795769e-05 2.27805964e-05 -1.01843813e-06
0.904197         3.29294803e-05 2.67086580e-03 -1.01491764e-06 1.53937139e-05 2.64378277e-03 -1.47883571e-08 1.75357664e-05 2.70830242e-05 -1.00012928e-06
0.904976         2.32018203e-05 2.62693105e-03 -1.01974540e-06 5.80413990e-06 2.60225887e-03 -9.87281759e-09 1.73976804e-05 2.46721793e-05 -1.00987259e-06
0.905788         1.96610245e-05 2.77293362e-03 -1.01577983e-06 2.26557089e-06 2.75086136e-03 -5.81356954e-09 1.73954537e-05 2.20722629e-05 -1.00996626e-06
0.906644         1.88453878e-05 3.13154315e-03 -1.00994349e-06 1.45635065e-06 3.11167759e-03 -4.03496948e-09 1.73890372e-05 1.98655538e-05 -1.00590852e-06
0.907551         1.84723525e-05 3.73787096e-03 -9.98201894e-07 1.10061228e-06 3.71994574e-03 -2.90417964e-09 1.73717402e-05 1.79252273e-05 -9.95297714e-07
0.908514         1.85128532e-05 4.50822519e-03 -9.86870259e-07 1.17193910e-06 4.49207673e-03 -1.58288397e-09 1.73409141e-05 1.61484685e-05 -9.85287375e-07
0.909542         1.84179083e-05 5.42394537e-03 -9.74731415e-07 1.11325531e-06 5.40942784e-03 -4.41314474e-10 1.73046530e-05 1.45175215e-05 -9.74290101e-07
0.910606         1.82980218e-05 6.43728075e-03 -9.65363126e-07 1.00911742e-06 6.42420337e-03 -4.38508519e-10 1.72889044e-05 1.30773824e-05 -9.64924618e-07
0.911683         1.81586403e-05 7.50500940e-03 -9.55129338e-07 8.83211392e-07 7.49309625e-03 -2.65348732e-10 1.72754289e-05 1.19131509e-05 -9.54863990e-07
0.912773         1.68478607e-05 8.61486731e-03 -9.42672375e-07 -4.71600149e-07 8.60386677e-03 6.36706471e-11 1.73194608e-05 1.10005459e-05 -9.42736046e-07
0.91385          1.82061567e-05 9.70838489e-03 -9.31576173e-07 8.98143366e-07 9.69807156e-03 5.77745433e-10 1.73080133e-05 1.03133271e-05 -9.32153918e-07
0.914914         1.77651125e-05 1.08066287e-02 -9.20488143e-07 4.67774263e-07 1.07967970e-02 1.10549239e-09 1.72973383e-05 9.83169140e-06 -9.21593635e-07
0.915977         1.83558342e-05 1.19046541e-02 -9.09931750e-07 1.08918024e-06 1.18951263e-02 1.67761880e-09 1.72666540e-05 9.52779503e-06 -9.11609369e-07
0.917041         1.85649452e-05 1.29888290e-02 -9.01574619e-07 1.35785305e-06 1.29793934e-02 2.17823793e-09 1.72070922e-05 9.43553214e-06 -9.03752856e-07
0.918118         1.88322280e-05 1.41482812e-02 -8.93533936e-07 1.66496464e-06 1.41388635e-02 2.59273398e-09 1.71672633e-05 9.41773688e-06 -8.96126670e-07
0.91921          1.87152572e-05 1.52962328e-02 -8.84780954e-07 1.59341404e-06 1.52867083e-02 2.98701490e-09 1.71218431e-05 9.52450838e-06 -8.87767968e-07
0.920317         1.85458880e-05 1.64607787e-02 -8.75810509e-07 1.46618028e-06 1.64510443e-02 3.35970686e-09 1.70797077e-05 9.73438331e-06 -8.79170216e-07
0.921455         1.87181146e-05 1.76629374e-02 -8.66685459e-07 1.66073906e-06 1.76528916e-02 3.65542900e-09 1.70573755e-05 1.00458259e-05 -8.70340888e-07
0.92261          1.84695140e-05 1.89069729e-02 -8.59162417e-07 1.40931688e-06 1.88966016e-02 3.89439996e-09 1.70601972e-05 1.03712697e-05 -8.63056817e-07
0.923748         1.88772927e-05 2.00758833e-02 -8.51500465e-07 1.85799817e-06 2.00650198e-02 4.01722150e-09 1.70192945e-05 1.08635221e-05 -8.55517687e-07
0.92487          1.84691494e-05 2.12605480e-02 -8.44458669e-07 1.47690970e-06 2.12491266e-02 4.05413928e-09 1.69922397e-05 1.14214628e-05 -8.48512808e-07
0.925991         1.92368666e-05 2.24366321e-02 -8.36561308e-07 2.26480352e-06 2.24245727e-02 3.85935614e-09 1.69720631e-05 1.20594347e-05 -8.40420664e-07
0.927095         1.91548251e-05 2.35981804e-02 -8.30517034e-07 2.20735117e-06 2.35854636e-02 3.80315585e-09 1.69474739e-05 1.27168115e-05 -8.34320190e-07
0.9282           1.94293106e-05 2.47566513e-02 -8.24286406e-07 2.51090489e-06 2.47432241e-02 3.76052107e-09 1.69184058e-05 1.34272047e-05 -8.28046927e-07
0.929288         1.87099927e-05 2.58957396e-02 -8.18944997e-07 1.80259111e-06 2.58815822e-02 3.30648916e-09 1.69074016e-05 1.41574024e-05 -8.22251486e-07
0.930359         1.92708253e-05 2.70163661e-02 -8.13125092e-07 2.38328269e-06 2.70014622e-02 3.35650488e-09 1.68875426e-05 1.49038459e-05 -8.16481597e-07
0.931415         1.96153610e-05 2.81173203e-02 -8.06476087e-07 2.73270846e-06 2.81016586e-02 3.15843258e-09 1.68826525e-05 1.56616821e-05 -8.09634520e-07
0.93247          1.98091033e-05 2.92206068e-02 -8.00708448e-07 2.92614552e-06 2.92041516e-02 2.88337953e-09 1.68829578e-05 1.64551291e-05 -8.03591827e-07
0.933525         1.99318952e-05 3.03192258e-02 -7.95868758e-07 3.05249744e-06 3.03019427e-02 2.39815779e-09 1.68793977e-05 1.72831163e-05 -7.98266916e-07
