# Force         
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      4.54332182e-03 8.61264134e-03 -1.54965782e+02 4.54228606e-03 8.60292083e-03 -1.54965691e+02 1.03575133e-06 9.72051487e-06 -9.12027566e-05
0.0013191        1.48120464e-04 -1.63325196e-04 -1.54964318e+02 1.47378037e-04 -1.72722579e-04 -1.54964230e+02 7.42426946e-07 9.39738268e-06 -8.75723539e-05
0.00218472       9.71014252e-05 -1.00419994e-04 -1.54964321e+02 9.64847726e-05 -1.09794302e-04 -1.54964233e+02 6.16652581e-07 9.37430728e-06 -8.76423949e-05
0.00322531       2.13780104e-05 -4.27270464e-06 -1.54964478e+02 2.07361278e-05 -1.37312597e-05 -1.54964388e+02 6.41882603e-07 9.45855508e-06 -9.00837640e-05
0.00446601       -8.08874861e-05 1.63551467e-04 -1.54964896e+02 -8.14640856e-05 1.54476540e-04 -1.54964806e+02 5.76599516e-07 9.07492709e-06 -9.06166314e-05
0.00595873       2.39872638e-05 -6.90937144e-06 -1.54965152e+02 2.35182818e-05 -1.58380293e-05 -1.54965062e+02 4.68981971e-07 8.92865788e-06 -8.95653427e-05
0.00773309       -2.11038975e-05 -3.98952477e-06 -1.54965169e+02 -2.17795563e-05 -1.32995287e-05 -1.54965075e+02 6.75658805e-07 9.31000389e-06 -9.39719904e-05
0.0097389        -5.03758891e-05 7.73206933e-05 -1.54965030e+02 -5.07116416e-05 6.89385093e-05 -1.54964940e+02 3.35752490e-07 8.38218405e-06 -9.04142343e-05
0.0117447        -8.83711283e-05 3.25383712e-05 -1.54965013e+02 -8.89053245e-05 2.39335099e-05 -1.54964918e+02 5.34196197e-07 8.60486127e-06 -9.45433130e-05
0.0137505        -7.85433858e-05 2.10323677e-06 -1.54964863e+02 -7.88930273e-05 -6.26885016e-06 -1.54964773e+02 3.49641435e-07 8.37208694e-06 -9.04936618e-05
0.0157563        -1.72526580e-04 -6.47720493e-06 -1.54964860e+02 -1.73161273e-04 -1.53834719e-05 -1.54964766e+02 6.34692800e-07 8.90626697e-06 -9.47064324e-05
0.0177621        -2.44553929e-04 7.33622318e-05 -1.54964836e+02 -2.44852620e-04 6.52260333e-05 -1.54964745e+02 2.98691089e-07 8.13619849e-06 -9.05681049e-05
0.0197679        -3.65204890e-04 3.73819980e-05 -1.54964850e+02 -3.65684516e-04 2.90229307e-05 -1.54964756e+02 4.79625503e-07 8.35906731e-06 -9.41538308e-05
0.0217737        -4.21581038e-04 1.79253186e-05 -1.54964898e+02 -4.21903351e-04 9.81321952e-06 -1.54964808e+02 3.22312886e-07 8.11209911e-06 -9.02896925e-05
0.0237795        -6.08836879e-04 6.23159535e-06 -1.54964913e+02 -6.09331619e-04 -2.34547770e-06 -1.54964819e+02 4.94740430e-07 8.57707306e-06 -9.42702512e-05
0.0257853        -7.45253898e-04 7.23616424e-05 -1.54964941e+02 -7.45525870e-04 6.44810202e-05 -1.54964851e+02 2.71972590e-07 7.88062220e-06 -8.97524523e-05
0.0277911        -9.83195552e-04 4.34788379e-05 -1.54964949e+02 -9.83457597e-04 3.54572638e-05 -1.54964857e+02 2.62045068e-07 8.02157410e-06 -9.27430637e-05
0.0297969        -1.18026362e-03 2.85774352e-05 -1.54964952e+02 -1.18059250e-03 2.04343524e-05 -1.54964860e+02 3.28875593e-07 8.14308272e-06 -9.23491312e-05
0.0318027        -1.37490202e-03 5.34700437e-05 -1.54964910e+02 -1.37504809e-03 4.59760549e-05 -1.54964821e+02 1.46067798e-07 7.49398874e-06 -8.90832017e-05
0.0338085        -1.73693673e-03 3.23273649e-05 -1.54964913e+02 -1.73691796e-03 2.45957432e-05 -1.54964822e+02 -1.87772913e-08 7.73162169e-06 -9.14224012e-05
0.0358143        -2.07767745e-03 3.62749489e-05 -1.54964923e+02 -2.07762299e-03 2.82096171e-05 -1.54964831e+02 -5.44563893e-08 8.06533185e-06 -9.23839856e-05
0.0378201        -2.34906690e-03 6.45742520e-05 -1.54964902e+02 -2.34923120e-03 5.70375196e-05 -1.54964814e+02 1.64301895e-07 7.53673241e-06 -8.86595486e-05
0.0398259        -2.83222233e-03 4.39798475e-05 -1.54964903e+02 -2.83201609e-03 3.61852280e-05 -1.54964811e+02 -2.06240592e-07 7.79461954e-06 -9.14982645e-05
0.0418317        -3.25673210e-03 5.35709244e-05 -1.54964906e+02 -3.25642562e-03 4.59138097e-05 -1.54964817e+02 -3.06472547e-07 7.65711467e-06 -8.96697986e-05
0.0438375        -3.67797115e-03 6.13468491e-05 -1.54964901e+02 -3.67817169e-03 5.39894427e-05 -1.54964814e+02 2.00537959e-07 7.35740642e-06 -8.68006014e-05
0.0458433        -4.28867470e-03 4.36089357e-05 -1.54964905e+02 -4.28781080e-03 3.59005241e-05 -1.54964816e+02 -8.63895156e-07 7.70841155e-06 -8.95868972e-05
0.0478491        -4.79936492e-03 6.71962132e-05 -1.54964912e+02 -4.79909961e-03 5.98330012e-05 -1.54964827e+02 -2.65315510e-07 7.36321194e-06 -8.55777444e-05
0.0498549        -5.46885062e-03 5.30691101e-05 -1.54964913e+02 -5.46772553e-03 4.55906299e-05 -1.54964827e+02 -1.12508064e-06 7.47848020e-06 -8.55990863e-05
0.0518607        -6.06099952e-03 6.80704888e-05 -1.54964916e+02 -6.06097774e-03 6.09226501e-05 -1.54964832e+02 -2.17774478e-08 7.14783869e-06 -8.36445139e-05
0.0538665        -6.85463141e-03 5.59345622e-05 -1.54964918e+02 -6.85332041e-03 4.87022010e-05 -1.54964833e+02 -1.31099949e-06 7.23236118e-06 -8.45452168e-05
0.0558723        -7.56778818e-03 6.48231888e-05 -1.54964918e+02 -7.56768846e-03 5.78168290e-05 -1.54964836e+02 -9.97195577e-08 7.00635973e-06 -8.21580407e-05
0.0578782        -8.43966072e-03 6.60387817e-05 -1.54964915e+02 -8.43948452e-03 5.90651702e-05 -1.54964833e+02 -1.76197755e-07 6.97361145e-06 -8.22749024e-05
0.059884         -9.29616797e-03 6.84215923e-05 -1.54964913e+02 -9.29600878e-03 6.15178853e-05 -1.54964831e+02 -1.59189718e-07 6.90370702e-06 -8.18963036e-05
0.0618898        -1.02435943e-02 7.19101194e-05 -1.54964907e+02 -1.02433712e-02 6.50322945e-05 -1.54964824e+02 -2.23114829e-07 6.87782498e-06 -8.23975961e-05
0.0638956        -1.12355622e-02 7.40755348e-05 -1.54964902e+02 -1.12352198e-02 6.72059804e-05 -1.54964819e+02 -3.42373848e-07 6.86955441e-06 -8.31670947e-05
0.0659014        -1.22911623e-02 7.55841200e-05 -1.54964898e+02 -1.22907288e-02 6.87300495e-05 -1.54964814e+02 -4.33485259e-07 6.85407053e-06 -8.44264395e-05
0.0679072        -1.34052655e-02 7.69890906e-05 -1.54964897e+02 -1.34046623e-02 7.01266406e-05 -1.54964810e+02 -6.03181313e-07 6.86245002e-06 -8.60563200e-05
