# Moment        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.000598802      -1.14832406e-03 6.28864810e-04 4.42954314e-08 -1.14177199e-03 6.28239091e-04 -1.80817433e-08 -6.55206543e-06 6.25718517e-07 6.23771747e-08
0.0013191        1.20160740e-05 2.16504797e-05 5.37605846e-08 1.83308279e-05 2.11854625e-05 -6.12858992e-09 -6.31475383e-06 4.65017261e-07 5.98891745e-08
0.00218472       7.79621164e-06 1.33337230e-05 5.75166656e-08 1.41156346e-05 1.29335787e-05 -1.47986536e-09 -6.31942299e-06 4.00144293e-07 5.89965309e-08
0.00322531       -4.50398020e-06 3.17189436e-06 5.80526124e-08 1.87505936e-06 2.74997542e-06 -4.39386883e-10 -6.37903956e-06 4.21918946e-07 5.84919992e-08
0.00446601       -2.83141652e-05 -9.53571593e-06 5.79327820e-08 -2.21393578e-05 -9.93441967e-06 -2.85766830e-10 -6.17480745e-06 3.98703743e-07 5.82185488e-08
0.00595873       -4.82640206e-06 3.98325433e-06 5.63094884e-08 1.26886955e-06 3.63417510e-06 -2.56305816e-10 -6.09527161e-06 3.49079230e-07 5.65657942e-08
0.00773309       -3.34391289e-06 -2.89410133e-06 5.45399861e-08 2.96850769e-06 -3.35920216e-06 -3.10780789e-10 -6.31242058e-06 4.65100829e-07 5.48507669e-08
0.0097389        -1.77411568e-05 -4.94274557e-06 5.55778288e-08 -1.19227707e-05 -5.23655880e-06 -3.56238877e-10 -5.81838612e-06 2.93813229e-07 5.59340677e-08
0.0117447        -8.66863484e-06 -1.09800249e-05 5.27898641e-08 -2.72918295e-06 -1.13952952e-05 -4.55834398e-10 -5.93945189e-06 4.15270290e-07 5.32456985e-08
0.0137505        -6.28444326e-06 -8.54352094e-06 5.05924271e-08 -4.70334791e-07 -8.87883926e-06 -4.72160690e-10 -5.81410847e-06 3.35318319e-07 5.10645878e-08
